Transaction ID,Date,Timestamp,ProductID,Product Name,Quantity Sold,Unit Price,Cost Per Unit,Customer ID
1,2025-07-01,09:05:00,201,Mocha,3,4.75,1.6,CUST-11
2,2025-07-01,09:20:00,202,Americano,2,3.25,1.1,CUST-12
3,2025-07-01,10:10:00,203,Chai Latte,1,4.0,1.4,CUST-13
4,2025-07-01,11:45:00,204,Caramel Latte,2,5.0,1.8,CUST-14
5,2025-07-02,08:55:00,205,Matcha,1,4.5,1.7,CUST-15
6,2025-07-02,09:12:00,206,Cold Brew,2,4.0,1.2,CUST-16
7,2025-07-02,10:25:00,207,Blueberry Muffin,4,2.75,1.0,CUST-17
8,2025-07-02,11:05:00,208,Bagel,3,2.5,0.9,CUST-18
9,2025-07-03,09:00:00,201,Mocha,1,4.75,1.6,CUST-19
10,2025-07-03,09:30:00,209,Flat White,2,4.25,1.5,CUST-20
11,2025-07-03,10:40:00,210,Espresso Tonic,1,3.75,1.2,CUST-21
12,2025-07-03,14:05:00,211,Iced Tea,5,2.0,0.7,CUST-22
13,2025-07-04,08:50:00,212,Herbal Tea,2,2.5,0.8,CUST-23
14,2025-07-04,09:15:00,213,Hot Chocolate,3,3.5,1.3,CUST-24
15,2025-07-04,10:20:00,214,Cheese Croissant,2,3.25,1.1,CUST-25
16,2025-07-04,11:10:00,215,Almond Biscotti,6,1.75,0.6,CUST-26

